"incident_key","occur_date","occur_time","boro","loc_of_occur_desc","precinct","jurisdiction_code","loc_classfctn_desc","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","geocoded_column"
"238036436","2021-12-18T00:00:00.000","15:39:00","QUEENS",,"113","0",,,"false",,,,"25-44","M","BLACK","1045709","186746","40.67904625700004","-73.77842187299996","POINT (-73.77842187299996 40.67904625700004)"
"238009968","2021-12-18T00:00:00.000","00:15:00","BROOKLYN",,"62","0",,"PVT HOUSE","true","25-44","M","BLACK","25-44","M","BLACK HISPANIC","981800","162898","40.61380164800004","-74.00882583999999","POINT (-74.00882583999999 40.61380164800004)"
"238036437","2021-12-18T00:00:00.000","12:43:00","BROOKLYN",,"69","2",,"MULTI DWELL - PUBLIC HOUS","false",,,,"18-24","M","BLACK","1012787","176018","40.64976764200002","-73.89716156499998","POINT (-73.89716156499998 40.64976764200002)"
"238039334","2021-12-18T00:00:00.000","12:30:00","MANHATTAN",,"23","0",,,"false","18-24","M","BLACK","45-64","M","BLACK","998959","227093","40.78998994400007","-73.94688243299998","POINT (-73.94688243299998 40.78998994400007)"
"238036436","2021-12-18T00:00:00.000","15:39:00","QUEENS",,"113","0",,,"false",,,,"25-44","M","WHITE HISPANIC","1045709","186746","40.67904625700004","-73.77842187299996","POINT (-73.77842187299996 40.67904625700004)"
"238040457","2021-12-18T00:00:00.000","18:00:00","BROOKLYN",,"75","1",,,"false",,,,"25-44","M","BLACK","1021568","185710","40.676337363000066","-73.86546353999995","POINT (-73.86546353999995 40.676337363000066)"
"238004076","2021-12-17T00:00:00.000","06:21:00","QUEENS",,"113","0",,"PVT HOUSE","true",,,,"25-44","F","BLACK","1043252","187998","40.682499421000045","-73.78726915499993","POINT (-73.78726915499993 40.682499421000045)"
"238041594","2021-12-17T00:00:00.000","12:00:00","BRONX",,"50","0",,,"false",,,,"25-44","M","BLACK","1010914","260940","40.88286213100001","-73.90357448999998","POINT (-73.90357448999998 40.88286213100001)"
"238004075","2021-12-17T00:00:00.000","22:13:00","BROOKLYN",,"69","0",,"GROCERY/BODEGA","true","25-44","M","BLACK","25-44","M","BLACK","1011203","174515","40.64564719600002","-73.90287588699994","POINT (-73.90287588699994 40.64564719600002)"
"238040458","2021-12-17T00:00:00.000","20:59:00","MANHATTAN",,"34","0",,,"false",,,,"25-44","M","BLACK HISPANIC","1004796","255322","40.867458818000046","-73.92571667599998","POINT (-73.92571667599998 40.867458818000046)"
"238040459","2021-12-17T00:00:00.000","14:42:00","QUEENS",,"113","0",,,"false",,,,"25-44","M","BLACK","1042087","190443","40.689218058000044","-73.79144856999993","POINT (-73.79144856999993 40.689218058000044)"
"238004075","2021-12-17T00:00:00.000","22:13:00","BROOKLYN",,"69","0",,"GROCERY/BODEGA","false","25-44","M","BLACK","18-24","M","BLACK","1011203","174515","40.64564719600002","-73.90287588699994","POINT (-73.90287588699994 40.64564719600002)"
"238040458","2021-12-17T00:00:00.000","20:59:00","MANHATTAN",,"34","0",,,"false",,,,"18-24","M","BLACK HISPANIC","1004796","255322","40.867458818000046","-73.92571667599998","POINT (-73.92571667599998 40.867458818000046)"
"237967321","2021-12-17T00:00:00.000","00:10:00","BRONX",,"44","0",,"MULTI DWELL - APT BUILD","true",,,,"25-44","M","BLACK","1007501","243434","40.834823081000025","-73.91597788499998","POINT (-73.91597788499998 40.834823081000025)"
"238004075","2021-12-17T00:00:00.000","22:13:00","BROOKLYN",,"69","0",,"GROCERY/BODEGA","true","25-44","M","BLACK","18-24","M","BLACK","1011203","174515","40.64564719600002","-73.90287588699994","POINT (-73.90287588699994 40.64564719600002)"
"238042759","2021-12-17T00:00:00.000","01:15:00","QUEENS",,"103","0",,,"false",,,,"18-24","M","BLACK","1052280","198319","40.71076328000004","-73.75461452999998","POINT (-73.75461452999998 40.71076328000004)"
"238040458","2021-12-17T00:00:00.000","20:59:00","MANHATTAN",,"34","0",,,"true",,,,"25-44","M","BLACK HISPANIC","1004796","255322","40.867458818000046","-73.92571667599998","POINT (-73.92571667599998 40.867458818000046)"
